,LIC_1,LIC_3,LIC_31,LIC_35,LIC_37,LIF_22,LIF_24,LIF_26,LIF_28,LIF_30
1700012A03Rikl,0,0,0,0,0,0,0,0,0,0
1700013D24Rik,0,0,0,0,0,0,0,0,0,0
2510039O18Rikl,6.197819,8.94715,19.991152,20.512016,11.446624,27.93582,15.818286,14.033731,22.590244,10.869896
6430548M08Rikl,1.591782,1.251706,2.853965,2.5225,3.313119,4.749399,3.55564,2.945551,3.215067,3.005497
A1bg,2.523542,1.985244995,1230.845215,1170.554688,777.931885,1565.526611,1354.332275,237.062973,679.713684,22.775993
A1cf,2.508971,1.166767,10.489132,1.486878,4.558128,19.599768,12.92135,7.575715,10.590769,6.432245
A2m,0.341502,0.32764,0.533591,0.185588,0.071182,0.462705,0.064301,0,0.236832,0.246337
A2ml1,0.086741,1.627096,0.317925,0.69802,0.205229,1.303929,1.058569,0.183099,0.116056,0.875149
A3galt2,0.066635,0.201496,0.425381,0.221666,0,0.483624,0.363452,0.323029,0.592428,0.508109
A4galt,0,0,0.076257,0,0,0,0,0,0,0
A4gnt,0,0,0,0,0,0,0,0,0,0
AA926063,1.338606,4.054465,1.408088,3.95313,0.79667,0.550807,0.616692,0.702177,0.704404,0.889541
Aaas,2.701608,2.999208,4.640701,2.453647,5.122848,4.127499,6.918747,3.736357,3.672142,4.553162
AABR07058254.1,0,0,0,0,0,0,0,0,0,0
Aacs,18.330273,6.650891,28.131855,4.432852,2.662303,2.131278,2.864347,0.999813,1.714243,1.444573
Aadac,52.709877,73.018883,100.296707,69.646904,51.686016,76.039047,50.228584,41.101803,41.508904,39.202335
Aadacl2,0,0,0,0,0,0,0,0,0,0
Aadacl2fm2,0,0,0,0,0,0,0,0,0,0
Aadacl2fm3,0,0,0,0,0,0,0,0,0,0
Aadacl3,0,0,0,0,0,0,0,0,0,0
Aadacl4,0,0,0,0,0,0,0,0,0,0
Aadacl4fm2,0,0,0,0,0,0,0,0,0,0
AAdacl4fm3,0,0,0,0,0,0,0,0,0,0
Aadat,134.481308,116.889519,172.647675,123.848846,101.467529,162.183426,136.195984,135.803162,123.976006,110.11129
Aagab,4.582332,4.852104,9.645612,7.745169,8.116291,11.320551,11.177926,8.463885,8.238239,6.975586
Aak1,0.780321,0.793314,1.404599,1.121736,1.593871,3.074625,2.087372,1.981302,1.812781,2.097331
Aamdc,36.370953,72.006683,29.1555,37.932228,33.928658,19.567841,22.469515,30.463638,26.095459,38.001163
Aamp,37.800243,63.264553,86.738144,106.632011,70.919189,109.290977,86.506523,77.58567,89.191719,93.909248
Aanat,0,0,0,0,0,0,0,0,0,0
Aar2,2.633024,2.861253,9.126759,5.190671,4.17055,7.428164,6.751803,5.577474,7.90598,5.441182
Aard,0,0,0,0,0,0,0.576296,0,0.486102,0.099493
Aars1,32.382648,54.235443,92.248955,85.210922,53.600258,116.974731,79.354996,56.996632,64.497002,44.47802
Aars2,1.673732,1.442668,6.67872,2.846914,3.120168,9.905552,4.917505,4.099301,4.854983,4.551022
Aarsd1,8.203167,6.130776,5.050314,8.197156,12.50574,10.458927,8.072929,9.659164,12.051892,12.138201
Aasdh,2.594422,1.303969,1.024539,1.653475,3.320338,4.042766,5.231188,5.400488,3.478798,6.258968
Aasdhppt,23.058676,24.197304,42.759609,42.66637,23.519108,33.252563,32.778816,25.414349,33.458096,27.459364
Aass,16.269258,6.336788,31.970602,14.259681,3.883713,34.538116,24.201464,33.063084,23.731302,13.365488
Aatf,3.10516,2.968045,6.212676,7.274632,3.150589,8.214016,6.468676,4.950928,4.661602,3.171666
Aatk,0.237356,0.154667,0.412987,0.222725,0.461657,0.422474,0.549028,0.756949,0.402919,0.655831
Abat,25.672955,23.14134,54.045631,27.506279,23.709757,48.405651,39.192509,33.05423,45.914551,38.009907
Abca1,6.08716,4.732712,11.635778,8.69605,6.458449,13.867121,8.540726,9.042412,10.567976,8.388604
Abca12,0,0,0,0,0,0,0,0,0,0
Abca13,0,0,0,0,0,0.018899,0,0,0.009437,0.009019
Abca14,0,0,0,0,0,0,0,0,0,0
Abca15,0,0,0,0,0,0,0,0,0,0
Abca16,0.240885,0.419999,0.335155,0.176119,0.045019,0.526677,0.467753,0.046963,0.324095,0.329312
Abca17,0.217944,0.110605,0,0.041032,0.394509,0.211066,0,0.090693,0.127636,0.137658
Abca2,4.563872,2.909435,6.824033,2.502452,7.001436,9.236906,7.681444,6.983756,6.771863,6.862417
Abca3,3.366133,8.382176,11.513262,5.078146,4.504439,15.255601,11.453332,11.051035,8.166395,6.808394
Abca4,0.266973,0.403635,0.481221,0.451349,0.957102,0.582515,0.78628,0.972593,1.626817,1.007328
Abca5,0,0.013695,0.16621,0.049642,0,0.471144,0,0.11807,0.128386,0
Abca6,13.642575,6.28137,27.124804,14.392318,11.265778,35.923073,24.103064,22.088167,20.897867,13.963709
Abca7,0.250067,0.413729,0.433386,0.33022,0.921534,0.993219,0.840752,0.916045,0.946521,1.208405
Abca8,4.638762,1.004383,3.721996,2.246335,3.140195,2.202597,3.289133,3.353525,3.66289,2.807367
Abca8a,22.087221,18.64913,26.176905,21.501549,29.749653,37.648357,36.085438,30.759172,35.808289,28.95751
Abca9,2.362753,1.030907,0.563388,0.906128,2.483706,4.086309,2.315697,5.49866,2.384486,2.952905
Abcb10,1.296582,0.9193,5.263468,1.881349,2.277977,7.001141,3.747787,3.0099,3.917362,3.065542
Abcb11,84.193489,50.951649,158.17244,88.75145,57.529491,143.260773,133.635681,97.466858,92.120148,62.374428
Abcb1a,12.327113,7.302951,12.936853,7.673974,8.019145,14.053055,13.694328,10.445062,14.004388,10.186851
Abcb1b,1.290879,0.889242,0.961936,1.544302,2.698212,3.685786,3.877341,9.846653,2.389176,1.400677
Abcb4,25.290812,11.908807,53.52784,28.861912,48.772018,83.157471,82.388245,57.294727,49.336746,22.437822
Abcb5,0,0,0,0,0,0,0,0,0,0
Abcb6,24.500835,24.699871,24.969234,17.324038,23.050793,35.5765,25.617258,32.626858,31.093506,35.576546
Abcb7,0.580951,1.163052,7.061185,2.868812,2.420747,8.089122,4.675895,2.134511,3.331883,1.811487
Abcb8,3.723448,3.543834,10.338589,10.043987,8.788707,13.589682,11.10743,8.411078,10.9854,9.432837
Abcb9,0.042885,0.248362,0.059741,0.191713,0.512553,0.761403,1.091939,0.165907,0.083355,0.087753
Abcc1,0.611713,0.21961,0.515808,0.407552,1.474885,1.127234,1.229011,0.616595,1.502187,1.250333
Abcc10,2.099946,1.703774,1.123818,1.499897,4.439378,5.021622,5.167332,3.526138,3.339664,4.205235
Abcc12,0,0,0,0,0,0,0,0,0,0
Abcc1-ps1,0.018219,0,0,0,0.019547,0.032357,0,0.051971,0,0.026531
Abcc2,21.936256,53.847839,146.627487,73.9478,48.687496,150.754456,88.998817,52.64283,89.179276,39.224648
Abcc3,19.98242,1.188182,4.601372,2.42413,5.974697,6.657016,7.755208,8.905334,11.122731,10.009652
Abcc4,1.925103,0.609794,1.519444,1.020101,1.1261,1.265388,1.719278,1.025949,1.440932,0.927039
Abcc5,3.704604,1.621387,0.766892,0.970986,12.005234,7.603038,9.390232,10.705128,5.963491,13.703614
Abcc6,69.906395,49.728329,36.950802,32.497826,166.142914,148.317337,154.912201,150.75325,114.282959,190.797577
Abcc8,4.060506,2.483932,0.876731,3.516119,4.406294,0.908745,3.631518,1.394062,2.087379,1.240874
Abcc9,1.759336,0.742006,1.519206,2.027176,1.665159,2.304861,1.624438,2.533412,3.543241,2.812203
Abcd1,4.735313,3.60079,18.857931,11.934196,12.298285,23.445112,15.582571,16.307926,16.923023,13.367785
Abcd2,0.935782,1.593024,3.917277,1.388896,2.313836,0.532112,1.054771,1.734404,1.282843,0.319529
Abcd3,96.122673,68.569832,115.892044,115.222519,95.070587,106.797264,154.391693,138.187119,154.406219,124.371231
Abcd4,2.982923,2.260963,2.915115,2.508212,4.211972,5.515093,5.652867,6.199224,4.42653,4.908656
Abce1,11.539391,10.247617,21.620638,14.242273,15.706024,29.910826,18.918438,15.880105,21.12355,15.691522
Abcf1,9.741564,9.379529,19.676825,16.322458,14.261843,30.308598,19.458841,19.352551,19.941967,16.959553
Abcf2,14.920688,12.12009,18.734013,20.112181,20.595375,30.922499,24.530882,21.584593,24.519625,20.348709
Abcf3,19.342096,20.939848,21.469051,29.731779,26.485325,38.757309,28.385607,30.474968,30.359325,33.764408
Abcg1,0.728291,1.265974,2.203297,3.847266,3.489095,6.327288,3.166544,5.107354,5.86127,2.754708
Abcg2,3.143807,3.664356,3.269121,4.599196,3.093579,3.534834,2.093836,0.744097,7.292708,2.402643
Abcg3,44.989594,27.603148,30.692837,40.342209,50.946949,60.386734,61.65382,51.397045,48.888229,52.843346
Abcg3l1,0.421991,0.670914,0.892547,0.79008,2.719476,1.49309,1.643464,1.311098,1.535719,2.274075
Abcg3l2,8.374903,10.464371,5.730901,10.076874,18.428022,14.394115,17.756727,17.447159,15.738134,15.531176
Abcg3l3,1.872838,1.331133,1.947864,0.424272,2.498225,4.400496,2.429707,2.611923,2.078907,3.731784
Abcg3l4,26.158482,24.006182,9.324297,16.530325,42.659538,54.667683,56.159992,50.299061,43.005241,34.377682
Abcg4,0.297341,0.263769,0.17327,0.344268,0.192926,0.285378,0.447592,0.388254,0.451441,0.379086
Abcg5,33.163292,7.653542,21.991655,16.48057,15.320362,21.418098,24.911671,17.039383,16.644369,33.833553
Abcg8,15.012223,1.388101,8.319942,2.01119,3.131714,4.207974,11.481172,4.632194,3.355154,12.924708
Abhd1,49.034821,62.93375,61.098759,50.086571,96.352448,87.913841,123.147156,116.650024,80.521118,103.180138
Abhd10,0.91669,1.018478,2.00811,1.7373,1.704201,2.70999,3.212504,2.388296,2.111997,1.770494
Abhd11,12.361595,13.217234,11.76909,13.059916,16.372675,16.197632,12.739421,18.767342,16.014126,25.458366
Abhd11-as1,1.894998,0.328072,0.245756,0.856565,1.188898,0.167387,0,0,1.082048,0.350498
Abhd12,9.427749,11.423399,13.324182,14.544819,13.800319,21.054211,15.491531,17.659887,17.785528,12.143403
Abhd12b,0,0,0,0,0,0,0,0,0,0
Abhd13,4.9533,5.215502,7.973195,7.150785,5.601452,8.16785,7.530297,5.706317,10.668449,6.302974
Abhd14a,9.508098,6.211814,6.014353,9.902248,13.790574,9.742865,14.279198,13.508583,16.922361,8.19609
Abhd14b,207.402908,173.853516,329.136047,307.720032,304.989929,358.705841,384.959076,370.640442,429.736267,322.214722
Abhd15,3.670982,3.53854,4.674591,1.833134,1.847433,8.851326,6.399372,4.160358,10.033448,5.548921
Abhd16a,17.457064,9.923402,14.532203,14.826468,26.335894,26.566013,27.920305,30.300676,33.936539,29.834824
Abhd16b,0,0,0,0,0,0.380348,0,0.237022,0,0
Abhd17a,64.48246,55.794662,97.032921,99.192329,81.916748,129.534897,117.579155,112.925941,113.365555,100.72319
Abhd17b,8.356232,8.814961,12.732689,10.57531,11.147603,10.70372,11.118037,8.646011,11.162122,9.035327
Abhd17c,21.107359,27.388933,42.80714,37.186359,30.395462,55.305588,49.646297,31.904381,35.919407,29.440504
Abhd18,2.1595,2.579575,5.592169,1.281536,2.475528,5.102939,4.487536,3.461639,2.623902,3.072574
Abhd2,4.414398,66.391426,112.442192,73.672562,72.029724,183.643753,104.894417,60.610836,84.584969,53.735348
Abhd3,0.03885,0,13.965403,0.140025,9.318155,11.556896,18.92996,7.074945,0,4.849735
Abhd4,9.096016,11.577793,26.449142,18.6064,16.713156,29.901701,25.687439,20.273502,22.545692,20.159067
Abhd5,9.589478,11.652069,27.385765,22.05369,12.834912,23.353117,26.067247,21.268757,26.614792,11.038028
Abhd6,27.936522,14.767889,26.640345,26.949169,28.172705,29.413124,30.946253,39.914566,35.844635,32.570686
Abhd8,1.892319,1.173817,1.232206,1.398304,1.857547,4.367707,3.896008,2.712491,3.076459,1.693737
Abi1,10.292385,5.866717,13.142631,10.976448,13.078384,17.503,14.404253,13.846804,12.44213,10.552672
Abi2,0.75944,0.303026,0.943316,0.911552,0.947892,1.982893,1.700229,0.948978,1.378163,0.728167
Abi3,3.901839,6.434335,8.232488,12.398111,8.977965,15.12446,8.479397,12.205157,8.714158,7.631715
Abi3bp,0.897616,0.891045,1.459255,1.144753,2.109257,2.507331,1.279642,1.951665,2.938553,1.482282
Abitram,1.000342,1.003504,2.35812,1.193761,2.36439,3.545118,3.178571,2.325067,2.457846,2.038448
Abl1,5.260118,1.425481,4.577341,3.315895,7.437894,8.212069,6.01972,4.792837,5.885393,6.297441
Abl2,0.30751,0.226689,0.476988,0.342947,0.883536,1.988354,1.679636,1.195485,0.97679,0.616221
Ablim1,2.226885,1.36024,2.881974,1.423011,4.397235,4.92139,5.754999,4.976809,5.998922,4.731532
Ablim2,0.190816,0.203345,0.495935,0.339613,0.494912,1.154103,0.356172,0.458782,0.6532,0.678554
Ablim3,10.981639,6.693152,6.212569,11.773786,15.295499,16.222919,23.432835,19.571213,24.220976,20.29878
Abo,0.328225,0.432783,0.099384,0.181463,0.746052,1.155666,0.38857,0.832027,0.991174,0.567843
Abo2,0,0,0,0,0,0,0,0,0,0
Abo3,0,0,0,0.078232,0.069958,0,0,0,0,0.06585
