"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Acot1",3.83438260339836,2.67449346710146,8.78010637396718,2.50270619580962e-08,0.000811943642406133,8.51274238517023
"LOC120095090",-2.17188306525629,1.79232358561961,-8.43402788748157,4.77136770527198e-08,0.000811943642406133,7.94749054357423
"LOC120100152",2.077092177408,1.33880742342572,8.13285850073156,8.47265150032238e-08,0.000961194070539906,7.41972700641066
"Cyp51",-2.54938242939674,6.59208713460547,-7.72683255140638,1.87273809339632e-07,0.00159341920676626,7.06454059942902
"RT1-N2",4.77317858535685,2.65283926144377,7.50015842237124,2.94407612274133e-07,0.00192695870130069,6.47363812892291
"Pnpla3",-3.30789943725636,0.762352473421581,-7.42915377837581,3.39711823699951e-07,0.00192695870130069,6.42335463982928
"Acot2",1.65591062320419,5.21321812577192,7.25598494661972,4.8300301633174e-07,0.00234836066540492,6.28216571974599
"LOC102546489",-1.24376482899172,5.10847533311106,-7.10542026954174,6.58057278656083e-07,0.00279954017772264,6.02503060599677
"Fasn",-2.48585047808535,4.18273038576703,-6.9972146261742,8.23393255390147e-07,0.00286917559781376,5.80360263266645
"Sqle",-3.1067706557532,4.44962603732476,-6.96374522173621,8.82784956298985e-07,0.00286917559781376,5.73130264806796
"Gpat3",1.80783144189913,1.49061536881952,6.94012918762243,9.27335358052281e-07,0.00286917559781376,5.45866009801774
"Idi1",-3.27374377135745,4.42150163114404,-6.78753601853596,1.27694708572984e-06,0.00335596383189443,5.39778861662313
"Acot3",1.39987658837593,4.29734289360105,6.75057037599726,1.38048697321861e-06,0.00335596383189443,5.34848687541759
"Fdps",-2.01592484063089,8.30732385401855,-6.76592070387674,1.33647959709185e-06,0.00335596383189443,5.27043600167663
"Aig1",1.59510599979411,3.41213304447816,6.61123015411855,1.8551024976213e-06,0.00394603490025271,5.04855680139921
"RGD1561919",-1.64524042626999,-0.0674209295229923,-6.67785931955202,1.61013532773271e-06,0.00365328971627033,4.97015797898661
"Ddx17",1.92505079714234,4.31879465716266,6.50044108701258,2.3506925213339e-06,0.00470608642771047,4.85999125569269
"LOC120099958",2.53478836169653,4.00018216734437,6.4299496521866,2.73515574377478e-06,0.0051715716990906,4.70142080265201
"Acly",-1.71512562426601,5.03724381564235,-6.39425930423144,2.95390256664001e-06,0.00529121683963296,4.67334904915561
"Hmgcs1",-2.75708848798409,7.36067650168835,-6.2782622115392,3.79737357500149e-06,0.00646199061258004,4.38898885623324
"LOC120093125",-3.31763816669713,3.29569820737331,-6.21301737617514,4.37689842916976e-06,0.00683872151658402,4.25756993913402
"LOC120096836",1.43603177672433,0.16409590676286,6.20845907012407,4.42063446450163e-06,0.00683872151658402,4.1779910026946
"Acat2",-2.90604184663462,4.23403591146855,-6.03325536854191,6.4908839953222e-06,0.00832699851575507,3.94292409881423
"Cyp4a1",1.47280986659491,7.56125505317181,6.0432962496166,6.34891233729533e-06,0.00832699851575507,3.92537986139466
"Erg28",-1.54947511410902,6.69670315631429,-6.0295845355522,6.54359596357145e-06,0.00832699851575507,3.92184538326271
"Mvd",-2.81919274245218,4.14497015834537,-6.01889519722094,6.69960445154308e-06,0.00832699851575507,3.91419693976751
"Lsm5",-1.36296386160773,3.64253481278581,-6.00878441909915,6.85067751193341e-06,0.00832699851575507,3.90077535857695
